,sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11,sector12,sector13,sector14,sector15,sector16,sector17,sector18,sector19,sector20,sector21,sector22,sector23,sector24,sector25,sector26,sector27,sector28,sector29,sector30
0,0.0,28.0,76.0,0.0,36.0,0.0,0.0,0.0,0.0,10.0,23.0,80.0,60.0,7.0,0.0,30.0,0.0,38.0,5.0,160.0,48.0,24.0,21.0,20.0,76.0,84.0,40.0,246.0,54.0,0.0
1,0.0,27.0,63.0,19.0,42.0,0.0,0.0,0.0,0.0,7.0,50.0,71.0,51.0,11.0,8.0,19.0,0.0,40.0,0.0,215.0,40.0,32.0,43.0,110.0,93.0,37.0,76.0,270.0,68.0,7.0
2,0.0,49.0,146.0,50.0,74.0,0.0,0.0,0.0,0.0,15.0,87.0,193.0,147.0,28.0,0.0,71.0,0.0,72.0,0.0,665.0,71.0,44.0,54.0,212.0,227.0,117.0,98.0,608.0,104.0,19.0
3,0.0,73.0,101.0,31.0,111.0,0.0,0.0,0.0,0.0,0.0,66.0,212.0,114.0,16.0,0.0,51.0,0.0,114.0,35.0,514.0,108.0,86.0,38.0,240.0,228.0,187.0,130.0,510.0,192.0,16.0
4,5.0,47.0,69.0,51.0,51.0,0.0,0.0,0.0,0.0,9.0,107.0,141.0,144.0,7.0,0.0,63.0,4.0,82.0,28.0,552.0,93.0,65.0,35.0,243.0,235.0,95.0,114.0,726.0,192.0,14.0
5,0.0,51.0,114.0,21.0,112.0,5.0,0.0,0.0,0.0,0.0,168.0,164.0,145.0,8.0,0.0,53.0,0.0,66.0,22.0,482.0,112.0,90.0,52.0,230.0,273.0,156.0,143.0,752.0,286.0,12.0
6,0.0,33.0,148.0,36.0,169.0,0.0,0.0,0.0,0.0,0.0,87.0,242.0,202.0,15.0,0.0,57.0,0.0,99.0,7.0,446.0,94.0,133.0,45.0,298.0,312.0,149.0,130.0,754.0,238.0,0.0
7,0.0,121.0,321.0,28.0,108.0,7.0,0.0,0.0,0.0,9.0,130.0,187.0,246.0,0.0,0.0,102.0,0.0,78.0,32.0,424.0,97.0,116.0,63.0,237.0,231.0,67.0,125.0,727.0,241.0,0.0
8,0.0,73.0,128.0,31.0,166.0,9.0,0.0,0.0,0.0,22.0,94.0,158.0,132.0,0.0,0.0,28.0,0.0,92.0,10.0,522.0,95.0,74.0,54.0,192.0,266.0,95.0,173.0,686.0,356.0,0.0
9,0.0,58.0,103.0,52.0,116.0,6.0,0.0,0.0,0.0,0.0,108.0,155.0,178.0,27.0,0.0,106.0,0.0,71.0,12.0,440.0,98.0,89.0,92.0,250.0,323.0,60.0,115.0,830.0,360.0,0.0
